ForeignKeyName,ParentSchema,ParentTable,ParentColumn,ReferencedSchema,ReferencedTable,ReferencedColumn,OnDelete,OnUpdate
FK__prmisg__cwageacc__567713BB,dbo,prmisg,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prmisg__cwcexpac__576B37F4,dbo,prmisg,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prmisgh__ctaxacc__585F5C2D,dbo,prmisgh,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prmisgh__cwageac__59538066,dbo,prmisgh,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prmisgh__cwcexpa__5A47A49F,dbo,prmisgh,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__clwtacc__5B3BC8D8,dbo,prssys,clwtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__csdiacc__5C2FED11,dbo,prssys,csdiacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__cstaxacc__5D24114A,dbo,prssys,cstaxacc1,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__cstaxacc__5E183583,dbo,prssys,cstaxacc2,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__cstaxacc__5F0C59BC,dbo,prssys,cstaxacc3,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__csutaacc__60007DF5,dbo,prssys,csutaacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prssys__cswtacc__60F4A22E,dbo,prssys,cswtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__caccotex__3494FD54,dbo,prsyst,caccotexp,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cacctxex__33A0D91B,dbo,prsyst,cacctxexp,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cattbala__2EFC1F8F,dbo,prsyst,cattbalacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cficaacc__61E8C667,dbo,prsyst,cficaacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cfutaacc__62DCEAA0,dbo,prsyst,cfutaacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cfwtacc__63D10ED9,dbo,prsyst,cfwtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cmediacc__64C53312,dbo,prsyst,cmediacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cprepacc__65B9574B,dbo,prsyst,cprepacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__ctaxacc__66AD7B84,dbo,prsyst,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cwageapa__67A19FBD,dbo,prsyst,cwageapacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prsyst__cwageepa__6895C3F6,dbo,prsyst,cwageepacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prtceg__ctaxacc__6989E82F,dbo,prtceg,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prtceg__cwageacc__6A7E0C68,dbo,prtceg,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prtceg__cwcexpac__6B7230A1,dbo,prtceg,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prtcegh__ctaxacc__6C6654DA,dbo,prtcegh,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prtcegh__cwageac__6D5A7913,dbo,prtcegh,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prtcegh__cwcexpa__6E4E9D4C,dbo,prtcegh,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prwcgp__cexpacct__6F42C185,dbo,prwcgp,cexpacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prwcgp__cliabacc__7036E5BE,dbo,prwcgp,cliabacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__radist__cglacc__36FE6862,dbo,radist,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__radisth__cglacc__37F28C9B,dbo,radisth,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__raiadj__craadjac__38E6B0D4,dbo,raiadj,craadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__cbdinvta__39DAD50D,dbo,rasyst,cbdinvtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__cfcstacc__3ACEF946,dbo,rasyst,cfcstacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__crmaarga__3BC31D7F,dbo,rasyst,crmaargacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__crmasaja__3CB741B8,dbo,rasyst,crmasajacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__crtvarga__3DAB65F1,dbo,rasyst,crtvargacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__crtvcaja__3E9F8A2A,dbo,rasyst,crtvcajacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__crtvraja__3F93AE63,dbo,rasyst,crtvrajacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__crtvsaja__4087D29C,dbo,rasyst,crtvsajacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__rasyst__cscstacc__417BF6D5,dbo,rasyst,cscstacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__soship__caracc__42701B0E,dbo,soship,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__soshiph__caracc__43643F47,dbo,soshiph,caracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
