SchemaName,ProcedureName,create_date,modify_date
dbo,vsp_rahcls2_transfer_rma,2017-04-14 09:46:28.030,2017-04-14 09:46:28.030
dbo,vsp_rahcls2_transfer_rtv,2017-04-14 09:46:28.083,2017-04-14 09:46:28.083
dbo,vsp_rahcls2_update_ctogl,2017-04-14 09:46:28.110,2017-04-14 09:46:28.110
dbo,vsp_rahsetu_validate,2017-04-14 09:46:28.130,2017-04-14 09:46:28.130
dbo,vsp_ratcor1_checkwarranty,2017-04-14 09:46:28.147,2017-04-14 09:46:28.147
dbo,vsp_ratcor1_validate,2017-04-14 09:46:28.170,2017-04-14 09:46:28.170
dbo,vsp_ratcrds_appcr,2017-04-14 09:46:28.197,2017-04-14 09:46:28.197
dbo,vsp_ratcrec_adjust,2017-04-14 09:46:28.220,2017-04-14 09:46:28.220
dbo,vsp_ratfer_transfer,2017-04-14 09:46:28.260,2017-04-14 09:46:28.260
dbo,vsp_ratfer_transfer_auto,2017-04-20 09:27:22.713,2017-04-21 07:32:33.640
dbo,vsp_ratfer_transfer_auto_76,2014-02-07 08:53:09.243,2017-04-20 09:23:59.420
dbo,vsp_ratfer_validate,2017-04-14 09:46:28.283,2017-04-14 09:46:28.283
dbo,vsp_ratvor1_validate,2017-04-14 09:46:28.300,2017-04-14 09:46:28.300
dbo,vsp_rpt_am_settings,2017-04-14 09:46:28.340,2017-04-14 09:46:28.340
dbo,vsp_rpt_amrept_historyexpr,2017-04-14 09:46:28.360,2017-04-14 09:46:28.360
dbo,vsp_rpt_ap1099,2017-04-14 09:46:28.383,2017-04-14 09:46:28.383
dbo,vsp_rpt_ap99pt,2017-04-14 09:46:28.400,2017-04-14 09:46:28.400
dbo,vsp_rpt_ap99rp,2017-04-14 09:46:34.733,2017-04-14 09:46:34.733
dbo,vsp_rpt_apapmt,2017-04-14 09:46:28.420,2017-04-14 09:46:28.420
dbo,vsp_rpt_apcchk,2017-04-14 09:46:28.440,2017-04-14 09:46:28.440
dbo,vsp_rpt_apchks,2017-04-14 09:46:34.770,2017-04-14 09:46:34.770
dbo,vsp_rpt_apchmr,2017-04-14 09:46:28.457,2017-04-14 09:46:28.457
dbo,vsp_rpt_apcont,2017-04-14 09:46:28.473,2017-04-14 09:46:28.473
dbo,vsp_rpt_apcred,2017-04-14 09:46:28.490,2017-04-14 09:46:28.490
dbo,vsp_rpt_apcreq,2017-04-14 09:46:28.510,2017-04-14 09:46:28.510
dbo,vsp_rpt_apctrs,2017-04-14 09:46:35.220,2017-04-14 09:46:35.220
dbo,vsp_rpt_apdinv,2017-04-14 09:46:28.530,2017-04-14 09:46:28.530
dbo,vsp_rpt_apdist,2017-04-14 09:46:28.560,2017-04-14 09:46:28.560
dbo,vsp_rpt_apdloi,2017-04-14 09:46:28.580,2017-04-14 09:46:28.580
dbo,vsp_rpt_apdlpi,2017-04-14 09:46:28.600,2017-04-14 09:46:28.600
dbo,vsp_rpt_apdsct,2017-04-14 09:46:28.620,2017-04-14 09:46:28.620
dbo,vsp_rpt_apdtnt,2017-04-14 09:46:28.637,2017-04-14 09:46:28.637
dbo,vsp_rpt_apepmt,2017-04-14 09:46:34.680,2017-04-14 09:46:34.680
dbo,vsp_rpt_apexpl,2017-04-14 09:46:35.080,2017-04-14 09:46:35.080
dbo,vsp_rpt_apexpr,2017-04-14 09:46:35.100,2017-04-14 09:46:35.100
dbo,vsp_rpt_apexps,2017-04-14 09:46:35.060,2017-04-14 09:46:35.060
dbo,vsp_rpt_apexpv,2017-04-14 09:46:35.040,2017-04-14 09:46:35.040
dbo,vsp_rpt_apfage,2017-04-14 09:46:28.663,2017-04-14 09:46:28.663
dbo,vsp_rpt_apfctr,2017-04-14 09:46:28.680,2017-04-14 09:46:28.680
dbo,vsp_rpt_apfinc,2017-04-14 09:46:28.700,2017-04-14 09:46:28.700
dbo,vsp_rpt_apfpmt,2017-04-14 09:46:28.717,2017-04-14 09:46:28.717
dbo,vsp_rpt_apgnls,2017-04-14 09:46:28.737,2017-04-14 09:46:28.737
dbo,vsp_rpt_aphold,2017-04-14 09:46:28.757,2017-04-14 09:46:28.757
dbo,vsp_rpt_apictl,2017-04-14 09:46:28.773,2017-04-14 09:46:28.773
dbo,vsp_rpt_apidtl,2017-04-14 09:46:28.800,2017-04-14 09:46:28.800
dbo,vsp_rpt_apinpf,2017-04-14 09:46:28.820,2017-04-14 09:46:28.820
dbo,vsp_rpt_apjrnl,2017-04-14 10:23:03.300,2017-04-14 10:23:03.300
dbo,vsp_rpt_apldgr,2017-04-14 09:46:28.843,2017-04-14 09:46:28.843
dbo,vsp_rpt_apochk,2017-04-14 09:46:28.867,2017-04-14 09:46:28.867
dbo,vsp_rpt_appage,2018-08-15 17:53:53.790,2018-08-15 17:53:53.790
dbo,vsp_rpt_apraca,2017-04-14 09:46:28.930,2017-04-14 09:46:28.930
