SchemaName,TableName,IndexName,IndexType,is_unique,is_primary_key,IndexColumns
dbo,apinvch,apinvch_xref,NONCLUSTERED,0,0,"cref, cvendno"
dbo,apinvch,apinvch_xvendbank,NONCLUSTERED,0,0,"cvendno, cbankno"
dbo,apinvch,apinvch_xvendpo,NONCLUSTERED,0,0,"cvendno, cpono"
dbo,apinvch,apinvch_xvoucherno,NONCLUSTERED,0,0,cvoucherno
dbo,apinvch,PK__apinvch__D3DF6FB914E61A24,CLUSTERED,1,1,"cvendno, cinvno"
dbo,apraca,apraca_xporcpt,NONCLUSTERED,0,0,"cpono, crcptno"
dbo,apraca,apraca_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apraca,PK__apraca__2CDD98A656B3DD81,CLUSTERED,1,1,cuid
dbo,apracah,apracah_xporcpt,NONCLUSTERED,0,0,"cpono, crcptno"
dbo,apracah,apracah_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apracah,PK__apracah__2CDD98A66319B466,CLUSTERED,1,1,cuid
dbo,apracq,apracq_cpouid,NONCLUSTERED,0,0,cpouid
dbo,apracq,apracq_xporcptln,NONCLUSTERED,0,0,"cpono, crcptno, clineitem"
dbo,apracq,apracq_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apracq,PK__apracq__2CDD98A66F7F8B4B,CLUSTERED,1,1,cuid
dbo,apracqh,apracqh_cpouid,NONCLUSTERED,0,0,cpouid
dbo,apracqh,apracqh_xporcptln,NONCLUSTERED,0,0,"cpono, crcptno, clineitem"
dbo,apracqh,apracqh_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,apracqh,PK__apracqh__2CDD98A6056ECC6A,CLUSTERED,1,1,cuid
dbo,aprchg,aprchg_xtrsvendinv,NONCLUSTERED,0,0,"ctrsno, cvendno, cinvno"
dbo,aprchg,aprchg_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,aprchg,PK__aprchg__2CDD98A61B5E0D89,CLUSTERED,1,1,cuid
dbo,aprchgh,aprchgh_xtrsvendinv,NONCLUSTERED,0,0,"ctrsno, cvendno, cinvno"
dbo,aprchgh,aprchgh_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,aprchgh,PK__aprchgh__2CDD98A62D7CBDC4,CLUSTERED,1,1,cuid
dbo,aprcrd,aprcrd_xvendinv,NONCLUSTERED,0,0,"cvendno, cinvno"
dbo,aprcrd,PK__aprcrd__2CDD98A63F9B6DFF,CLUSTERED,1,1,cuid
dbo,aprcri,aprcri_xcreate,NONCLUSTERED,0,0,dcreate
