SchemaName,ViewName,create_date,modify_date
dbo,vm_mk_CampMortem2b,2022-08-12 11:51:47.733,2022-08-12 14:41:05.707
dbo,vm_mk_campMortem3,2022-06-02 13:15:26.733,2022-08-12 12:17:52.773
dbo,vm_mk_CampMortem3_b,2022-08-12 11:47:02.377,2022-08-12 12:22:32.860
dbo,vm_mk_CampMortem3Old,2014-08-04 10:49:56.313,2022-06-02 13:14:36.050
dbo,vm_mk_campmortem4,2018-08-16 12:49:43.653,2018-08-16 12:49:56.237
dbo,vm_mk_CampMortenZip,2016-08-31 10:22:19.610,2016-08-31 10:22:19.610
dbo,vm_mk_CampMortm3_ABC,2018-08-31 09:17:48.243,2018-09-11 10:16:39.170
dbo,vm_mk_company_DashClients,2025-02-24 09:39:15.450,2025-02-24 11:04:37.823
dbo,vm_mk_CompDash_New12Montly,2021-07-21 11:17:48.220,2021-07-21 11:21:11.210
dbo,vm_mk_CompDash_NewCons12,2021-07-21 10:39:50.380,2021-07-21 11:52:59.710
dbo,vm_mk_compnay_Dash2,2017-08-07 09:44:25.820,2020-02-17 12:57:19.287
dbo,vm_mk_Compplan,2015-03-24 14:47:52.173,2015-08-20 09:52:57.607
dbo,vm_mk_Courier_info,2013-12-11 09:47:52.437,2013-12-12 08:47:11.230
dbo,vm_mk_courierperline,2014-03-04 12:08:37.287,2014-03-04 12:08:37.287
dbo,vm_mk_cred_reaonBackup,2016-08-08 12:11:19.740,2016-08-08 12:11:19.740
dbo,vm_mk_cred_reason,2013-12-19 08:50:29.973,2016-10-06 09:36:17.870
dbo,vm_mk_creditrep,2013-12-17 07:51:51.307,2013-12-18 14:47:21.293
dbo,vm_mk_creditrep2,2013-12-17 08:10:20.577,2013-12-18 14:30:44.437
dbo,vm_mk_creditreport,2014-01-06 08:47:44.237,2014-07-15 14:44:15.447
dbo,vm_mk_credits,2013-12-19 14:35:02.077,2014-07-16 13:47:10.577
dbo,vm_mk_creditsAll,2014-07-16 13:40:07.847,2015-09-29 11:10:55.360
dbo,vm_mk_credrep_3,2013-12-18 15:45:08.117,2014-01-21 07:45:26.563
dbo,vm_mk_credrep3_original,2014-01-06 10:18:57.460,2014-01-06 10:18:57.460
dbo,vm_mk_crossborder,2014-07-03 12:36:07.900,2014-07-10 15:46:55.213
dbo,vm_Mk_CurrentStructure,2016-12-12 08:30:11.240,2016-12-12 08:33:16.463
dbo,vm_mk_CustActivMaster,2017-08-15 10:47:46.967,2017-08-15 10:49:14.770
dbo,vm_mk_CustandUpline,2016-12-08 08:49:21.900,2016-12-08 09:26:31.190
dbo,vm_mk_Custstarter,2018-01-30 08:38:42.583,2018-01-30 08:38:42.583
dbo,vm_mk_CustTradeYTD,2016-02-24 09:49:38.040,2016-08-08 13:55:57.683
dbo,vm_mk_Dash_1_5,2014-04-30 12:03:10.333,2014-04-30 12:03:10.333
dbo,vm_mk_dash_levels,2014-05-22 14:05:54.250,2014-05-22 14:32:32.890
dbo,vm_mk_dash_levels1,2014-05-13 13:42:01.100,2014-05-22 14:06:56.783
dbo,vm_mk_dash1_1,2014-04-29 15:45:02.767,2014-06-11 15:34:15.827
dbo,vm_mk_dash1_2,2014-06-12 08:52:52.467,2014-06-13 08:42:55.973
dbo,vm_mk_dash1_3,2014-06-12 10:00:56.280,2016-01-15 07:48:56.113
