SchemaName,TableName,RowCount
dbo,curarcapp11,1379
dbo,CurArcash11,221
dbo,currebatedtl,5273
dbo,CustSPNLVL,144754
dbo,custspnlvl_bu02222016,135051
dbo,Dashboardinfo,0
dbo,Dashbpardinfo,0
dbo,Dates,2192
dbo,DateTbl,0
dbo,db200002,53
dbo,Dec,207
dbo,DecReb,7029
dbo,dpibdg,435804
dbo,dpibdg_T,3206
dbo,dpibdgbu,17919
dbo,dpibdgbu29Oct10,33273
dbo,dpibdgbu2Dec10,35885
dbo,dpibdgbu5Sep11,60025
dbo,dpibdgbu6July2013,116286
dbo,dpibdgbu9July13,115898
dbo,dpitem,6846
dbo,dpitem21Jul10,3866
dbo,dpitembu29Jul10,792
dbo,dprqmt,3040
dbo,dpsyst,1
dbo,drpjan,183
dbo,drpval,5257
dbo,drpvalues,70
dbo,dynamic,525
dbo,EP500,37
dbo,epcust,11238
dbo,FApr11,666
dbo,FCastOct11,166
dbo,FCastSep12,169
dbo,FcstAug11,156
dbo,FcstMay11,158
dbo,FDec10,1266
dbo,FebReb,7381
dbo,FFeb11,666
dbo,fintest,57
dbo,fix,46
dbo,FJan11,666
dbo,FMar11,666
dbo,FMay11,150
dbo,FNov10,1262
dbo,FNov12,194
dbo,FOct10,1265
dbo,FOct12,194
dbo,for,213
dbo,frgt,3696
dbo,FSep10,1270
dbo,FSep12,203
dbo,fw_consignment,674738
dbo,fw_Hubs,23629
dbo,fw_items,681759
dbo,fw_labels,26241
dbo,fw_manifest,6861
dbo,g1,29
dbo,gen,40658
dbo,genreb,19855973
dbo,genrebcomp,138911
dbo,genrebcompFEB,9757
dbo,genrebcompTEST,64860
dbo,genrebdtl,0
dbo,GET,30586
dbo,gets,64
dbo,gifts,403
dbo,glabal,1025
dbo,glabalh,16565
dbo,glabud,136
dbo,glacct,9439
dbo,gladis,0
dbo,glagrp,57
dbo,glagrph,0
dbo,glalst,0
dbo,glanot,0
dbo,glbatc,8915
dbo,glbfer,0
dbo,glbrmk,4
dbo,glbsmd,5
dbo,glbsys,1
dbo,glbtdt,0
dbo,glbtfr,0
dbo,glbugt,17825
dbo,glbugtprep,587354
dbo,glcatg,60
dbo,glcatgh,0
dbo,glcflw,82
dbo,glcflwh,0
dbo,glfseg,0
dbo,gljeid,18226
dbo,glpdis,0
dbo,glsegv,820
dbo,glsyst,1
dbo,gltfer,3262263
dbo,gltfererror,6
dbo,gltfertemp,3262263
dbo,gltrsn,118274883
dbo,gltrsnbu18Dec23,2386881
dbo,glunje,113796
dbo,glxcgd,0
dbo,glxcxg,0
dbo,hubs,21963
dbo,i,17345
dbo,iccprc,0
dbo,iccprh,0
dbo,iciadj,3580
dbo,iciadjh,453807
dbo,icibal,325206
dbo,icibalh,629833
dbo,icibin,185254
dbo,icicst,5272
dbo,iciimg,3372
dbo,iciimgNew,1862
dbo,iciimgUpdate,21091
dbo,iciimgUpdateNOP,7744
dbo,icikit,8510
dbo,icilot,0
dbo,icimcp,6775
dbo,icimlp,772
dbo,icimlp_040717,38918
dbo,icimlp_100818,0
dbo,icimlp_1024,37407
dbo,icimlpdat,3625
dbo,icimlpexp,1856
dbo,icimlpupd,11302
dbo,icimve,108664
dbo,icinot,533
dbo,icinst,1
dbo,iciprc,0
dbo,icircv,560
dbo,icircvh,54953
dbo,icirmk,1180
dbo,icispc,0
dbo,icisti,127
